bron_rij,Ad Name,Product,Awareness Level,Angle Type,Marketing Angle (origineel),Desires (origineel),Format,Media Type,Hook (short),Channel,Audience,Persona,Date Live,Budget (€),Impressions,Hook Rate (%),Hold Rate (%),CTR (%),CPM (€),CPC (€),Conversions,CVR (%),CPA (€),AOV (€),ROAS,Break-even ROAS,Target ROAS,Score (1-10),Status,Next Step,Notes,Creatives Link
11,004-2,Groom Guard,2. Problem Aware,Storytelling / Narrative,Zelfzorg = status & eerste indruk,Verlangen naar zelfvertrouwen en sociale waardering,📱 UGC Talking Head Testimonial,🎬 Video,"Mannen deze video is voor jullie, onverzorgd zijn als man is gewoon niet oke. Niemand maakt een betere indruk, dan iemand die zijn grooming serieus neemt",Meta,NL & BE,Daan,2025-08-06,4.37,,0.191,0.0347,0.0243,15.17,1.46,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1QFYRIhYZfwV7G0eQTXMRCu873cvLp9pJ?usp=sharing
12,004-3,Groom Guard,2. Problem Aware,Storytelling / Narrative,Zelfzorg = status & eerste indruk,Verlangen naar zelfvertrouwen en sociale waardering,📱 UGC Talking Head Testimonial,🎬 Video,"Mannen deze video is voor jullie, onverzorgd zijn als man is gewoon niet oke. Niemand maakt een betere indruk, dan iemand die zijn grooming serieus neemt",Meta,NL & BE,Daan,2025-08-06,15.73,,0.2221,0.0433,0.0129,14.5,1.57,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1QFYRIhYZfwV7G0eQTXMRCu873cvLp9pJ?usp=sharing
13,005-1,Groom Guard,2. Problem Aware,Authority / Expert,Founder credibility + probleemoplossing,Verlangen naar vertrouwen en pijnvrij trimmen,👤 Founder Story / Origin Video,🎬 Video,"“Mensen vraag wel eens, Jordi, hoe repareer je auto’s, ik heet helemaal geen Jordi en ik repareer geen auto’s. Mijn naam is Dustin founder van Wellshave”",Meta,NL & BE,Luca,2025-08-06,38.76,,0.3549,0.1058,0.0133,6.54,0.64,,,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1p7lbWi6dAf2f7_nGnXxI6cqFAQSP7XiH?usp=sharing
14,005-2,Groom Guard,2. Problem Aware,Authority / Expert,Founder credibility + probleemoplossing,Verlangen naar vertrouwen en pijnvrij trimmen,👤 Founder Story / Origin Video,🎬 Video,"Mensen vraag wel eens, Jordi, hoe vervang je auto banden, ik heet helemaal geen Jordi en ik vervang geen banden. Mijn naam is Dustin founder van Wellshave”",Meta,NL & BE,Luca,2025-08-06,39.2,,0.3367,0.0806,0.0163,6.6,0.8,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1p7lbWi6dAf2f7_nGnXxI6cqFAQSP7XiH?usp=sharing
15,005-3,Groom Guard,2. Problem Aware,Authority / Expert,Founder credibility + probleemoplossing,Verlangen naar vertrouwen en pijnvrij trimmen,👤 Founder Story / Origin Video,🎬 Video,"Pohhh, ze vragen me weleens Joey, hoe fix ik deze auto. Ik heb geen idee. Ik heet ook helemaal geen Joey. Mijn naam is Dustin en ik ben de founder van Wellshave",Meta,NL & BE,Luca,2025-08-06,1155.7,,0.4958,0.1793,0.0252,6.7,0.48,,0.0146,30.41,43.01,1.41,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1p7lbWi6dAf2f7_nGnXxI6cqFAQSP7XiH?usp=sharing
16,006-1,Groom Guard,1. Unaware,Storytelling / Narrative,Stressvrij manscapen met humor en founder-trust,"Verlangen naar rust, vertrouwen en pijnloos scheren",👤 Founder Story / Origin Video,🎬 Video,“Luister Luister! Er zijn twee dingen waar je nooit stress over wil… en je schaamstreek is er één van.”,Meta,NL & BE,Luca,2025-08-06,3.89,,0.3713,0.0919,0.0625,14.3,0.28,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1PMgGTO1j5vz3FGTb9lbBepY6n2vINgJZ?usp=sharing
17,006-2,Groom Guard,1. Unaware,Storytelling / Narrative,Stressvrij manscapen met humor en founder-trust,"Verlangen naar rust, vertrouwen en pijnloos scheren",👤 Founder Story / Origin Video,🎬 Video,"“Rustig rustig, maar uit onderzoek is gebleken dat maar 40% van de mannen zich daar beneden scheert”",Meta,NL & BE,Luca,2025-08-06,14.94,,0.5335,0.1678,0.0393,8.77,0.24,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1PMgGTO1j5vz3FGTb9lbBepY6n2vINgJZ?usp=sharing
18,006-3,Groom Guard,1. Unaware,Storytelling / Narrative,Stressvrij manscapen met humor en founder-trust,"Verlangen naar rust, vertrouwen en pijnloos scheren",👤 Founder Story / Origin Video,🎬 Video,"“Rustig Rustig, Ik weet het."" Je wilt niet weer allemaal rode plekjes over heel je lichaam",Meta,NL & BE,Luca,2025-08-06,23.94,,0.5939,0.1356,0.0206,8.8,0.5,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1PMgGTO1j5vz3FGTb9lbBepY6n2vINgJZ?usp=sharing
19,007-1,Groom Guard,2. Problem Aware,Storytelling / Narrative,Bro-to-bro guidance + zelfvertrouwen,Verlangen naar zelfvertrouwen en controle,📱 UGC Talking Head Testimonial,🎬 Video,Scheren op gevoelige plekken klinkt moeilijk… maar dat is het dus echt niet,Meta,NL & BE,Daan,2025-08-06,15.55,,0.1488,0.0394,0.0108,9.89,1.11,,,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1doeyJadCOEiWMsRFlK4GuBXB4HfnPRrm?usp=sharing
20,007-2,Groom Guard,2. Problem Aware,Storytelling / Narrative,Bro-to-bro guidance + zelfvertrouwen,Verlangen naar zelfvertrouwen en controle,📱 UGC Talking Head Testimonial,🎬 Video,Niemand leert je dit. Maar je voelt je anders als je het doet.,Meta,NL & BE,Daan,2025-08-06,201.45,,0.2107,0.0643,0.0161,9.99,0.8,,0.0235,33.58,40.96,1.22,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1doeyJadCOEiWMsRFlK4GuBXB4HfnPRrm?usp=sharing
21,007-3,Groom Guard,2. Problem Aware,Storytelling / Narrative,Bro-to-bro guidance + zelfvertrouwen,Verlangen naar zelfvertrouwen en controle,📱 UGC Talking Head Testimonial,🎬 Video,Bro… dit is letterlijk gemaakt voor gasten die niet weten wat ze doen.,Meta,NL & BE,Daan,2025-08-06,44.3,,0.2496,0.0504,0.0127,10.19,1.14,,0.0952,11.08,51.45,4.65,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1doeyJadCOEiWMsRFlK4GuBXB4HfnPRrm?usp=sharing
22,008-1,Groom Guard,3. Solution Aware,Benefits-Driven,"Gemak, multifunctionaliteit & betrouwbaarheid",Verlangen naar gemak en zekerheid,👤 Founder Story / Origin Video,🎬 Video,"Je hoeft toch geen hoevenier te zijn, om jezelf een beetje netjes te verzorgen",Meta,NL & BE,Jasper,2025-08-06,45.89,,0.2302,0.0626,0.0158,10.33,1.18,,0.0238,45.89,39.95,0.87,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1fmgy0vH7bwEQ_qH9iTgtoALlgrJph_KB?usp=sharing
23,008-2,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Gemak, multifunctionaliteit & betrouwbaarheid",Verlangen naar gemak en zekerheid,👤 Founder Story / Origin Video,🎬 Video,"We gebruiken allemaal hetzelfde apparaat, voor alles",Meta,NL & BE,Jasper,2025-08-06,10.0,,0.2072,0.0542,0.0207,7.97,0.91,,,,,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1fmgy0vH7bwEQ_qH9iTgtoALlgrJph_KB?usp=sharing
24,008-3,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Gemak, multifunctionaliteit & betrouwbaarheid",Verlangen naar gemak en zekerheid,👤 Founder Story / Origin Video,🎬 Video,Weet je wat ik haat? Apparaten die na 3 maanden al stuk zijn.,Meta,NL & BE,Jasper,2025-08-06,14.01,,0.2011,0.0598,0.0237,9.2,1.08,,0.0,,,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1fmgy0vH7bwEQ_qH9iTgtoALlgrJph_KB?usp=sharing
25,009-1,Groom Guard,2. Problem Aware,Problem-Solution,Pijnvrij & precisie-groomen,Verlangen naar zorgeloos en precies trimmen,🖼️ Static ad,🖼️ Static ad,Eindelijk geen wondjes en geen stress,Meta,NL & BE,Luca,2025-08-15,9.19,,0.0,0.0,0.0144,9.45,1.31,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1I3u-NwclV49R1dx5Tkf-CnuLlny0RTlS?usp=sharing
26,009-2,Groom Guard,2. Problem Aware,Problem-Solution,Pijnvrij & precisie-groomen,Verlangen naar zorgeloos en precies trimmen,🖼️ Static ad,🖼️ Static ad,Nooit meer scheerfoutjes op foute plekken,Meta,NL & BE,Luca,2025-08-15,59.23,,0.0,0.0,0.0149,8.04,1.0,,0.0169,59.23,39.95,0.67,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1I3u-NwclV49R1dx5Tkf-CnuLlny0RTlS?usp=sharing
27,009-3,Groom Guard,2. Problem Aware,Problem-Solution,Pijnvrij & precisie-groomen,Verlangen naar zorgeloos en precies trimmen,🖼️ Static ad,🖼️ Static ad,Scheer met precisie waar het spannend wordt,Meta,NL & BE,Luca,2025-08-15,25.45,,0.0,0.0,0.0137,9.65,0.91,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1I3u-NwclV49R1dx5Tkf-CnuLlny0RTlS?usp=sharing
28,011-1,5in1 baardtrimmer (8188),3. Solution Aware,Curiosity / Intrigue,Curiosity bait + product authority,Verlangen naar kwaliteit en veelzijdigheid,👤 Founder Story / Origin Video,🎬 Video,"Was je nu echt aan het wachten tot die doos mijn hoofd raakte.... Ontmoet de 5in1 baardtrimmer van Wellshave, de meest multi funcitonele baardtrimmer op de markt",Meta,NL & BE,Jasper,2025-08-16,26.34,,0.3869,0.0845,0.018,11.59,0.91,,0.0333,26.34,36.95,1.4,2.06,2.58,,Killed,,,https://drive.google.com/drive/folders/1RUV5bVgrQrsxmyE_b8AIAIfrVKXiuyna?usp=sharing
29,011-2,5in1 baardtrimmer (8188),3. Solution Aware,Curiosity / Intrigue,Curiosity bait + product authority,Verlangen naar kwaliteit en veelzijdigheid,👤 Founder Story / Origin Video,🎬 Video,Poh was je nu echt aan het wachten of die doos mijn hoofd zou raken. Laat maar zitten.... Ontmoet de 5in1 baardtrimmer van Wellshave 1 van de beste trimmers op de markt.,Meta,NL & BE,Jasper,2025-08-16,9.94,,0.3849,0.0842,0.0272,12.3,0.58,,,,,0.0,2.06,2.58,,Killed,,,https://drive.google.com/drive/folders/1RUV5bVgrQrsxmyE_b8AIAIfrVKXiuyna?usp=sharing
30,011-3,5in1 baardtrimmer (8188),3. Solution Aware,Curiosity / Intrigue,Curiosity bait + product authority,Verlangen naar kwaliteit en veelzijdigheid,👤 Founder Story / Origin Video,🎬 Video,"Jij was benieuwd he, of die doos op mijn hoofd zou komen. Never mind ontmoet de 5in1 baardtrimmer van Wellshave, beoordeeld met een 4,6 uit 5 op Trustpilot",Meta,NL & BE,Jasper,2025-08-16,12.15,,0.3405,0.0889,0.0317,9.64,0.53,,,,,0.0,2.06,2.58,,Killed,,,https://drive.google.com/drive/folders/1RUV5bVgrQrsxmyE_b8AIAIfrVKXiuyna?usp=sharing
31,014-1,5in1 baardtrimmer (8188),3. Solution Aware,Benefits-Driven,Multifunctionele perfectie & premium grooming,"Verlangen naar controle, precisie en efficiëntie",📱 UGC Talking Head Testimonial,🎬 Video,“Eén trimmer. Vijf functies. Klaar in 5 minuten.”,Meta,NL & BE,Jasper,2025-08-16,11.18,,0.1699,0.0528,0.0124,11.59,1.4,,0.0,,,0.0,2.06,2.58,,Killed,,,https://drive.google.com/drive/folders/1qbn8efF40v4Iov1yD5kcC8ck1LPr078E?usp=sharing
32,014-2,5in1 baardtrimmer (8188),3. Solution Aware,Benefits-Driven,Multifunctionele perfectie & premium grooming,"Verlangen naar controle, precisie en efficiëntie",📱 UGC Talking Head Testimonial,🎬 Video,“Strak gelijnd. Millimeterprecies. Altijd in controle.”,Meta,NL & BE,Jasper,2025-08-16,36.33,,0.2177,0.0626,0.0142,13.55,1.45,,0.0,,,0.0,2.06,2.58,,Killed,,,https://drive.google.com/drive/folders/1qbn8efF40v4Iov1yD5kcC8ck1LPr078E?usp=sharing
33,014-3,5in1 baardtrimmer (8188),3. Solution Aware,Benefits-Driven,Multifunctionele perfectie & premium grooming,"Verlangen naar controle, precisie en efficiëntie",📱 UGC Talking Head Testimonial,🎬 Video,“Betaalbare power. Geen gedoe. Gewoon trimmen.”,Meta,NL & BE,Jasper,2025-08-16,0.56,,0.2073,0.0732,0.0244,6.83,0.56,,0.0,,,0.0,2.06,2.58,,Killed,,,https://drive.google.com/drive/folders/1qbn8efF40v4Iov1yD5kcC8ck1LPr078E?usp=sharing
34,015-1,Groom Guard,3. Solution Aware,Benefits-Driven,Multifunctionele perfectie & premium grooming,"Verlangen naar controle, precisie en efficiëntie",📱 UGC Talking Head Testimonial,🎬 Video,“Dames… koop dit voor je man. ECHT.”,Meta,NL & BE,Jasper,2025-08-16,35.87,,0.2187,0.0409,0.0126,9.23,1.38,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1xfwEa-u2YTZYD_VfHRvvsZiCIC63LRsu?usp=sharing
35,015-2,Groom Guard,3. Solution Aware,Benefits-Driven,Multifunctionele perfectie & premium grooming,"Verlangen naar controle, precisie en efficiëntie",📱 UGC Talking Head Testimonial,🎬 Video,“Dames… koop dit voor je man. ECHT.”,Meta,NL & BE,Jasper,2025-08-16,2.25,,0.1746,0.0714,0.0238,8.93,0.32,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1xfwEa-u2YTZYD_VfHRvvsZiCIC63LRsu?usp=sharing
36,016-1,Groom Guard,2. Problem Aware,Social Proof / Reviews,Sociale bevestiging + aantrekkelijkheid,Verlangen naar aantrekkelijkheid en waardering,📱 UGC Talking Head Testimonial,🎬 Video,Elke vrouw wilt toch een verzorgde man? Ze geven allemaal geld uit aan onzin maar aan een goed scheerapparaat niet.,Meta,NL & BE,Daan,2025-08-22,4.07,,0.2667,0.0356,0.0178,18.09,1.36,,,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1XJaUYOyA7jOQP1Y_lzw-pZHLlx0hneqd?usp=sharing
37,016-2,Groom Guard,2. Problem Aware,Social Proof / Reviews,Sociale bevestiging + aantrekkelijkheid,Verlangen naar aantrekkelijkheid en waardering,📱 UGC Talking Head Testimonial,🎬 Video,"Mannen, die zich niet goedscheren. Dat is een afknapper! Ze geven allemaal geld uit aan onzin maar aan een goed scheerapparaat niet.",Meta,NL & BE,Daan,2025-08-22,85.75,,0.2992,0.0602,0.0121,9.27,1.01,,0.0111,85.75,40.46,0.47,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1XJaUYOyA7jOQP1Y_lzw-pZHLlx0hneqd?usp=sharing
38,016-3,Groom Guard,2. Problem Aware,Social Proof / Reviews,Sociale bevestiging + aantrekkelijkheid,Verlangen naar aantrekkelijkheid en waardering,📱 UGC Talking Head Testimonial,🎬 Video,"Geloof mij, elke vrouw wilt dat hun man zicht goed verzorgd. Ze geven allemaal geld uit aan onzin maar aan een goed scheerapparaat niet.",Meta,NL & BE,Daan,2025-08-22,3.34,,0.2438,0.0719,0.0094,10.44,1.11,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1XJaUYOyA7jOQP1Y_lzw-pZHLlx0hneqd?usp=sharing
39,017-1,Groom Guard,2. Problem Aware,Problem-Solution,Aantrekkelijkheid + zelfvertrouwen + probleemoplossing,"Verlangen naar verzorging, zekerheid en comfort",👤 Founder Story / Origin Video,🎬 Video,Zweet plekken verdienen scheerwerk,Meta,NL & BE,Luca,2025-08-22,8.85,,0.1535,0.0432,0.0108,9.57,1.48,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1s85906KnFDbSwOATZ0Yvt6alsZbBHIFc?usp=sharing
40,017-2,Groom Guard,2. Problem Aware,Problem-Solution,Aantrekkelijkheid + zelfvertrouwen + probleemoplossing,"Verlangen naar verzorging, zekerheid en comfort",👤 Founder Story / Origin Video,🎬 Video,"Elke keer na het scheren: Rood, Jeuk, Bultjes, ik dacht dat het gewoon normaal was.",Meta,NL & BE,Luca,2025-08-22,199.86,,0.1701,0.0457,0.0177,12.93,0.97,,0.0521,18.17,48.08,2.65,1.9,2.38,,Winner,,,https://drive.google.com/drive/folders/1s85906KnFDbSwOATZ0Yvt6alsZbBHIFc?usp=sharing
41,018-1,Groom Guard,3. Solution Aware,Benefits-Driven,Rationele overtuiging + bewijsvoering,Verlangen naar zekerheid en de juiste keuze,📱 UGC Talking Head Testimonial,🎬 Video,"Als je wéér je huid openhaalt, weet je: dit was geen slimme keuze.",Meta,NL & BE,Jasper,2025-08-22,0.7,,0.1733,0.0533,0.0,9.33,,,,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1G68UHCayGyYOwpYMIMp2sdNEqk8Ce9g3?usp=sharing
42,018-2,Groom Guard,3. Solution Aware,Benefits-Driven,Rationele overtuiging + bewijsvoering,Verlangen naar zekerheid en de juiste keuze,📱 UGC Talking Head Testimonial,🎬 Video,"Let op."" ""Dit is waarom ik ben gestopt met vergelijken.",Meta,NL & BE,Jasper,2025-08-22,126.95,,0.2032,0.0507,0.016,12.03,0.98,,0.0231,42.32,35.86,0.85,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1G68UHCayGyYOwpYMIMp2sdNEqk8Ce9g3?usp=sharing
43,018-3,Groom Guard,3. Solution Aware,Benefits-Driven,Rationele overtuiging + bewijsvoering,Verlangen naar zekerheid en de juiste keuze,📱 UGC Talking Head Testimonial,🎬 Video,Iedere groomer belooft ‘veilig’ te zijn… Maar deze doet het écht.,Meta,NL & BE,Jasper,2025-08-22,451.89,,0.1626,0.0555,0.0176,11.34,0.86,,0.0324,26.58,51.74,1.95,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1G68UHCayGyYOwpYMIMp2sdNEqk8Ce9g3?usp=sharing
44,019-1,Groom Guard,3. Solution Aware,Social Proof / Reviews,Bewijsvoering + slimme keuze”,Verlangen naar zekerheid en controle,📱 UGC Talking Head Testimonial,🎬 Video,"Skin safe, waterdicht, LED-lampje… En hij kost minder dan de meeste ‘gehypte merken’.",Meta,NL & BE,Jasper,2025-08-22,23.47,,0.1392,0.0342,0.0133,11.97,1.17,,0.0476,23.47,39.95,1.7,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1_elEaPklnxd6o28uTbLYjFIcF5mZaLmr?usp=sharing
45,019-2,Groom Guard,3. Solution Aware,Social Proof / Reviews,Bewijsvoering + slimme keuze”,Verlangen naar zekerheid en controle,📱 UGC Talking Head Testimonial,🎬 Video,"“Ik had geen zin in wéér een miskoop."" ""Dus ik heb alles getest.”",Meta,NL & BE,Jasper,2025-08-22,23.47,,0.1392,0.0342,0.0133,11.97,1.17,,0.0476,23.47,39.95,1.7,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1_elEaPklnxd6o28uTbLYjFIcF5mZaLmr?usp=sharing
46,019-3,Groom Guard,3. Solution Aware,Social Proof / Reviews,Bewijsvoering + slimme keuze”,Verlangen naar zekerheid en controle,📱 UGC Talking Head Testimonial,🎬 Video,“Let op. Als je dit vergelijkt met andere groomers… dan is de keuze simpel.”,Meta,NL & BE,Jasper,2025-08-22,2.87,,0.2987,0.0779,0.0162,9.32,0.72,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1_elEaPklnxd6o28uTbLYjFIcF5mZaLmr?usp=sharing
47,020-1,Groom Guard,2. Problem Aware,Problem-Solution,Veiligheid + betrouwbaarheid + probleemoplossing,Verlangen naar pijnvrij en stressvrij trimmen,📱 UGC Talking Head Testimonial,🎬 Video,Durf jij je kroonjuwelen te scheren zonder stress?,Meta,NL & BE,Luca,2025-08-22,,,12.33,0.1748,0.0,,0.0097,,0.0,1.27,1.27,,1.9,2.38,,Killed,,0.068,https://drive.google.com/drive/folders/1Tsa29_8A_GXY63xLqP6SmlYn6cEsUqOO?usp=sharing
48,020-2,Groom Guard,2. Problem Aware,Problem-Solution,Veiligheid + betrouwbaarheid + probleemoplossing,Verlangen naar pijnvrij en stressvrij trimmen,📱 UGC Talking Head Testimonial,🎬 Video,Stop met gokken op je huid dit is de enige bodygroomer die wel doet wat die beloofd.,Meta,NL & BE,Luca,2025-08-22,112.97,,0.1829,0.0466,0.0159,13.08,0.97,,0.0342,28.24,39.21,1.39,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1Tsa29_8A_GXY63xLqP6SmlYn6cEsUqOO?usp=sharing
49,020-3,Groom Guard,2. Problem Aware,Problem-Solution,Veiligheid + betrouwbaarheid + probleemoplossing,Verlangen naar pijnvrij en stressvrij trimmen,📱 UGC Talking Head Testimonial,🎬 Video,"Oke jij dacht dat je veilig scheerde, maar toch heb je weer sneetjes.",Meta,NL & BE,Luca,2025-08-22,3.47,,0.1859,0.0409,0.0074,12.9,1.74,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1Tsa29_8A_GXY63xLqP6SmlYn6cEsUqOO?usp=sharing
